日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2016-06-30,,,,550,仕入高,,,312,買掛金,100,その他,54840,㈱キャンバス　daneson24case他,,,,,,,
2016-06-23,,,,550,仕入高,,,312,買掛金,100,その他,23056,渡辺紅念　ナフキンスタンド,,,,,,,
2016-06-30,,,,550,仕入高,,,312,買掛金,100,その他,16100,(有)妻木銅板　製版lexus,,,,,,,
2016-06-30,,,,550,仕入高,,,312,買掛金,1,㈲正村製陶所,365159,㈲正村製陶所　berg他,,,,,,,
2016-06-30,,,,550,仕入高,,,312,買掛金,3,九左コンフィデンシャ,379240,九左コンフィデンシャル　mulet他,,,,,,,
2016-06-30,,,,550,仕入高,,,312,買掛金,10,吉川製型所,67000,吉川製型所　フライパン、スイングカップ,,,,,,,
2016-06-24,,,,122,東京東信用金庫,,,999,,,,239,出資配当金,,,,,,,
2016-06-24,,,,726,租税公課,1,国税,999,,,,61,国税　配当金,,,,,,,
2016-06-24,,,,999,,,,812,受取配当金,,,300,出資配当金,,,,,,,
2016-06-03,,,,734,支払手数料,,,314,未払金,99,その他,53704,マドエル　新大橋→森下倉庫エアコン移設,,,,,,,
2016-06-10,,,,550,仕入高,,,312,買掛金,100,その他,4147,(有)明智鉱業　高田半磁器土,,,,,,,
2016-06-30,,,,550,仕入高,,,312,買掛金,96,岩城宏行,68200,岩城宏行　エルドフライパン原型,,,,,,,
2016-06-30,,,,722,旅費交通費,,,314,未払金,4,カーシェアリングジャパン㈱,2593,6月分カーシェアリングジャパン㈱,,,,,,,
2016-06-30,,,,550,仕入高,,,312,買掛金,2,㈱深山,179071,㈱深山　オリジナルマグカップ他,,,,,,,
2016-06-30,,,,550,仕入高,,,312,買掛金,96,岩城宏行,60200,岩城宏行　ファイアンス花瓶つる首,,,,,,,
